time,inc
0,0
7.178005902,0
8.895640248,0.493589211
12.66007232,0.767684219
20.5338099,1.534745023
29.76534641,1.590852417
31.82560991,2.247620631
43.11142513,2.522858568
46.88259008,3.289295956
83.8214538,4.443705582
88.61901002,5.265003533
151.8916919,7.079869914
174.4797806,8.833849383
182.0011637,8.834992311
184.0554424,9.054122854
200.1238519,9.056564565
212.1031545,10.04306762
226.4614106,9.990544865
279.1357799,11.80380076
291.4636964,13.28269814
335.914218,13.72708948
340.7072856,14.22015918
355.0760151,14.93350235